"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","cYxMZbJKie1","qnsg6xXzdLG","5",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","KLEhX0pJjLD","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","p9ngKMI1HlP","qnsg6xXzdLG","12",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","ICQVBpakGjE","qnsg6xXzdLG","6",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","LXuJtbiUk7o","qnsg6xXzdLG","41",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","R54ocOMuaZA","qnsg6xXzdLG","22",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","CuAKN91lKD6","qnsg6xXzdLG","448",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","MEQrzTnlr9a","qnsg6xXzdLG","241",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","VVHFpTkvtp2","qnsg6xXzdLG","448",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","FtKeuScH4zG","qnsg6xXzdLG","241",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","BXVSBShabAV","qnsg6xXzdLG","448",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","fKutkl1woOh","qnsg6xXzdLG","241",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","wzERTiClETp","qnsg6xXzdLG","448",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","VJLbRW6R553","qnsg6xXzdLG","241",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","GWDE9M05Fyf","qnsg6xXzdLG","81",,
"L9y9A4uG3rY","2017","mi7ORwgRy3S","yboc4U6mh3p","qnsg6xXzdLG","44",,
"Z5kOeISUYMI","2017","m516aDmFUUI","Gm6B7Z9Tbxs","qnsg6xXzdLG","0",,
"Z5kOeISUYMI","2017","m516aDmFUUI","xP7pDf7Dsya","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","m516aDmFUUI","cYxMZbJKie1","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","m516aDmFUUI","KLEhX0pJjLD","qnsg6xXzdLG","0",,
"L9y9A4uG3rY","2017","m516aDmFUUI","p9ngKMI1HlP","qnsg6xXzdLG","3",,
"L9y9A4uG3rY","2017","m516aDmFUUI","ICQVBpakGjE","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","m516aDmFUUI","LXuJtbiUk7o","qnsg6xXzdLG","8",,
"L9y9A4uG3rY","2017","m516aDmFUUI","R54ocOMuaZA","qnsg6xXzdLG","5",,
"L9y9A4uG3rY","2017","m516aDmFUUI","CuAKN91lKD6","qnsg6xXzdLG","92",,
"L9y9A4uG3rY","2017","m516aDmFUUI","MEQrzTnlr9a","qnsg6xXzdLG","50",,
"L9y9A4uG3rY","2017","m516aDmFUUI","VVHFpTkvtp2","qnsg6xXzdLG","92",,
"L9y9A4uG3rY","2017","m516aDmFUUI","FtKeuScH4zG","qnsg6xXzdLG","50",,
"L9y9A4uG3rY","2017","m516aDmFUUI","BXVSBShabAV","qnsg6xXzdLG","92",,
"L9y9A4uG3rY","2017","m516aDmFUUI","fKutkl1woOh","qnsg6xXzdLG","50",,
"L9y9A4uG3rY","2017","m516aDmFUUI","wzERTiClETp","qnsg6xXzdLG","92",,
"L9y9A4uG3rY","2017","m516aDmFUUI","VJLbRW6R553","qnsg6xXzdLG","50",,
"L9y9A4uG3rY","2017","m516aDmFUUI","GWDE9M05Fyf","qnsg6xXzdLG","16",,
"L9y9A4uG3rY","2017","m516aDmFUUI","yboc4U6mh3p","qnsg6xXzdLG","9",,
"Z5kOeISUYMI","2017","BvSVueanUP2","Gm6B7Z9Tbxs","qnsg6xXzdLG","0",,
"Z5kOeISUYMI","2017","BvSVueanUP2","xP7pDf7Dsya","qnsg6xXzdLG","4",,
"L9y9A4uG3rY","2017","BvSVueanUP2","cYxMZbJKie1","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","BvSVueanUP2","KLEhX0pJjLD","qnsg6xXzdLG","0",,
"L9y9A4uG3rY","2017","BvSVueanUP2","p9ngKMI1HlP","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","BvSVueanUP2","ICQVBpakGjE","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","BvSVueanUP2","LXuJtbiUk7o","qnsg6xXzdLG","7",,
"L9y9A4uG3rY","2017","BvSVueanUP2","R54ocOMuaZA","qnsg6xXzdLG","4",,
"L9y9A4uG3rY","2017","BvSVueanUP2","CuAKN91lKD6","qnsg6xXzdLG","79",,
"L9y9A4uG3rY","2017","BvSVueanUP2","MEQrzTnlr9a","qnsg6xXzdLG","44",,
"L9y9A4uG3rY","2017","BvSVueanUP2","VVHFpTkvtp2","qnsg6xXzdLG","79",,
"L9y9A4uG3rY","2017","BvSVueanUP2","FtKeuScH4zG","qnsg6xXzdLG","44",,
"L9y9A4uG3rY","2017","BvSVueanUP2","BXVSBShabAV","qnsg6xXzdLG","79",,
"L9y9A4uG3rY","2017","BvSVueanUP2","fKutkl1woOh","qnsg6xXzdLG","44",,
"L9y9A4uG3rY","2017","BvSVueanUP2","wzERTiClETp","qnsg6xXzdLG","79",,
"L9y9A4uG3rY","2017","BvSVueanUP2","VJLbRW6R553","qnsg6xXzdLG","44",,
"L9y9A4uG3rY","2017","BvSVueanUP2","GWDE9M05Fyf","qnsg6xXzdLG","14",,
"L9y9A4uG3rY","2017","BvSVueanUP2","yboc4U6mh3p","qnsg6xXzdLG","8",,
"Z5kOeISUYMI","2017","B7uMXQhtT6l","Gm6B7Z9Tbxs","qnsg6xXzdLG","0",,
"Z5kOeISUYMI","2017","B7uMXQhtT6l","xP7pDf7Dsya","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","cYxMZbJKie1","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","KLEhX0pJjLD","qnsg6xXzdLG","0",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","p9ngKMI1HlP","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","ICQVBpakGjE","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","LXuJtbiUk7o","qnsg6xXzdLG","6",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","R54ocOMuaZA","qnsg6xXzdLG","3",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","CuAKN91lKD6","qnsg6xXzdLG","66",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","MEQrzTnlr9a","qnsg6xXzdLG","36",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","VVHFpTkvtp2","qnsg6xXzdLG","66",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","FtKeuScH4zG","qnsg6xXzdLG","36",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","BXVSBShabAV","qnsg6xXzdLG","66",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","fKutkl1woOh","qnsg6xXzdLG","36",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","wzERTiClETp","qnsg6xXzdLG","66",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","VJLbRW6R553","qnsg6xXzdLG","36",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","GWDE9M05Fyf","qnsg6xXzdLG","12",,
"L9y9A4uG3rY","2017","B7uMXQhtT6l","yboc4U6mh3p","qnsg6xXzdLG","6",,
"Z5kOeISUYMI","2017","fWva3QHl9PM","Gm6B7Z9Tbxs","qnsg6xXzdLG","0",,
"Z5kOeISUYMI","2017","fWva3QHl9PM","xP7pDf7Dsya","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","cYxMZbJKie1","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","KLEhX0pJjLD","qnsg6xXzdLG","0",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","p9ngKMI1HlP","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","ICQVBpakGjE","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","LXuJtbiUk7o","qnsg6xXzdLG","6",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","R54ocOMuaZA","qnsg6xXzdLG","3",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","CuAKN91lKD6","qnsg6xXzdLG","66",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","MEQrzTnlr9a","qnsg6xXzdLG","35",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","VVHFpTkvtp2","qnsg6xXzdLG","66",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","FtKeuScH4zG","qnsg6xXzdLG","35",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","BXVSBShabAV","qnsg6xXzdLG","66",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","fKutkl1woOh","qnsg6xXzdLG","35",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","wzERTiClETp","qnsg6xXzdLG","66",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","VJLbRW6R553","qnsg6xXzdLG","35",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","GWDE9M05Fyf","qnsg6xXzdLG","12",,
"L9y9A4uG3rY","2017","fWva3QHl9PM","yboc4U6mh3p","qnsg6xXzdLG","6",,
"Z5kOeISUYMI","2017","tBD7EcDrqR8","Gm6B7Z9Tbxs","OdLHu28BL28","3",,
"Z5kOeISUYMI","2017","tBD7EcDrqR8","xP7pDf7Dsya","OdLHu28BL28","3",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","cYxMZbJKie1","OdLHu28BL28","3",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","KLEhX0pJjLD","OdLHu28BL28","4",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","p9ngKMI1HlP","OdLHu28BL28","48",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","ICQVBpakGjE","OdLHu28BL28","39",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","LXuJtbiUk7o","OdLHu28BL28","94",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","R54ocOMuaZA","OdLHu28BL28","47",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","CuAKN91lKD6","OdLHu28BL28","396",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","MEQrzTnlr9a","OdLHu28BL28","123",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","VVHFpTkvtp2","OdLHu28BL28","396",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","FtKeuScH4zG","OdLHu28BL28","123",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","BXVSBShabAV","OdLHu28BL28","396",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","fKutkl1woOh","OdLHu28BL28","123",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","wzERTiClETp","OdLHu28BL28","396",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","VJLbRW6R553","OdLHu28BL28","123",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","GWDE9M05Fyf","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","tBD7EcDrqR8","yboc4U6mh3p","OdLHu28BL28","1",,
"Z5kOeISUYMI","2017","PjJrujKwMvY","Gm6B7Z9Tbxs","OdLHu28BL28","0",,
