"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"JxBTk0UYjjf","2017","lfs5qignpT4","cYxMZbJKie1","AvKGVOKhI0t","7",,
"JxBTk0UYjjf","2017","lfs5qignpT4","KLEhX0pJjLD","AvKGVOKhI0t","6",,
"JxBTk0UYjjf","2017","lfs5qignpT4","p9ngKMI1HlP","AvKGVOKhI0t","6",,
"JxBTk0UYjjf","2017","lfs5qignpT4","ICQVBpakGjE","AvKGVOKhI0t","3",,
"JxBTk0UYjjf","2017","lfs5qignpT4","LXuJtbiUk7o","AvKGVOKhI0t","20",,
"JxBTk0UYjjf","2017","lfs5qignpT4","R54ocOMuaZA","AvKGVOKhI0t","4",,
"JxBTk0UYjjf","2017","lfs5qignpT4","CuAKN91lKD6","AvKGVOKhI0t","187",,
"JxBTk0UYjjf","2017","lfs5qignpT4","MEQrzTnlr9a","AvKGVOKhI0t","85",,
"JxBTk0UYjjf","2017","lfs5qignpT4","VVHFpTkvtp2","AvKGVOKhI0t","187",,
"JxBTk0UYjjf","2017","lfs5qignpT4","FtKeuScH4zG","AvKGVOKhI0t","85",,
"JxBTk0UYjjf","2017","lfs5qignpT4","BXVSBShabAV","AvKGVOKhI0t","187",,
"JxBTk0UYjjf","2017","lfs5qignpT4","fKutkl1woOh","AvKGVOKhI0t","85",,
"JxBTk0UYjjf","2017","lfs5qignpT4","wzERTiClETp","AvKGVOKhI0t","187",,
"JxBTk0UYjjf","2017","lfs5qignpT4","VJLbRW6R553","AvKGVOKhI0t","85",,
"JxBTk0UYjjf","2017","lfs5qignpT4","GWDE9M05Fyf","AvKGVOKhI0t","34",,
"JxBTk0UYjjf","2017","lfs5qignpT4","yboc4U6mh3p","AvKGVOKhI0t","30",,
"bhZUgdZZHMq","2017","uYDT2t3bfbK","Gm6B7Z9Tbxs","IpcHlwXHAL4","0",,
"bhZUgdZZHMq","2017","uYDT2t3bfbK","xP7pDf7Dsya","IpcHlwXHAL4","2",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","cYxMZbJKie1","IpcHlwXHAL4","1",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","KLEhX0pJjLD","IpcHlwXHAL4","3",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","p9ngKMI1HlP","IpcHlwXHAL4","4",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","ICQVBpakGjE","IpcHlwXHAL4","2",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","LXuJtbiUk7o","IpcHlwXHAL4","12",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","R54ocOMuaZA","IpcHlwXHAL4","2",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","CuAKN91lKD6","IpcHlwXHAL4","112",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","MEQrzTnlr9a","IpcHlwXHAL4","51",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","VVHFpTkvtp2","IpcHlwXHAL4","112",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","FtKeuScH4zG","IpcHlwXHAL4","51",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","BXVSBShabAV","IpcHlwXHAL4","112",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","fKutkl1woOh","IpcHlwXHAL4","51",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","wzERTiClETp","IpcHlwXHAL4","112",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","VJLbRW6R553","IpcHlwXHAL4","51",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","GWDE9M05Fyf","IpcHlwXHAL4","21",,
"JxBTk0UYjjf","2017","uYDT2t3bfbK","yboc4U6mh3p","IpcHlwXHAL4","18",,
"bhZUgdZZHMq","2017","S2nFt5STJyM","Gm6B7Z9Tbxs","NbvMUkJmS5N","1",,
"bhZUgdZZHMq","2017","S2nFt5STJyM","xP7pDf7Dsya","NbvMUkJmS5N","16",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","cYxMZbJKie1","NbvMUkJmS5N","6",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","KLEhX0pJjLD","NbvMUkJmS5N","6",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","p9ngKMI1HlP","NbvMUkJmS5N","4",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","ICQVBpakGjE","NbvMUkJmS5N","2",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","LXuJtbiUk7o","NbvMUkJmS5N","13",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","R54ocOMuaZA","NbvMUkJmS5N","2",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","CuAKN91lKD6","NbvMUkJmS5N","124",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","MEQrzTnlr9a","NbvMUkJmS5N","56",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","VVHFpTkvtp2","NbvMUkJmS5N","124",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","FtKeuScH4zG","NbvMUkJmS5N","56",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","BXVSBShabAV","NbvMUkJmS5N","124",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","fKutkl1woOh","NbvMUkJmS5N","56",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","wzERTiClETp","NbvMUkJmS5N","124",,
